City_ID,Weather City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
137,narsaq,GL,1587252146,60.92,-46.05,93,50,30.2,1.12
138,severo-kurilsk,RU,1587252147,50.68,156.12,22,89,34.54,13.94
139,concordia sagittaria,AR,1587252147,-31.39,-58.02,0,59,72,1.99
140,cidreira,BR,1587251878,-30.18,-50.21,0,81,67.82,12.93
141,torbay,CA,1587252147,47.67,-52.73,20,91,34,13.87
142,mgandu,TZ,1587252147,-5.95,34.13,99,64,60.64,6.42
143,grenville,GD,1587252147,12.12,-61.62,20,78,80.6,9.17
144,ati,TD,1587252147,13.22,18.34,1,13,81.28,11.43
145,serenje,ZM,1587252148,-13.23,30.24,22,63,60.78,8.1
146,portobelo,PA,1587252148,9.55,-79.65,60,58,89.01,3
147,abu dhabi,IN,1587252148,24.6,72.7,69,41,63.82,1.99
148,husavik,IS,1587252148,66.04,-17.34,75,70,46.4,34.45
149,sokoto,NG,1587252148,13.06,5.24,4,11,83.77,6.38
150,palmer,US,1587252148,42.16,-72.33,90,75,42.01,4.7
151,geraldton,AU,1587252213,-28.77,114.6,40,88,68,4.7
152,kerepehi,NZ,1587252214,-37.3,175.53,71,66,71.01,13
153,khatanga,RU,1587252214,71.97,102.5,0,94,14.76,4.16
154,tahta,EG,1587251916,26.77,31.5,0,40,69.8,5.82
155,kondinskoye,RU,1587252214,59.65,67.41,33,82,36.95,10.76
156,norman wells,US,1587252202,35.22,-97.44,1,37,66.2,18.34
157,dikson,RU,1587252214,73.51,80.55,100,87,35.65,20.71
158,beringovskiy,RU,1587252214,63.05,179.32,100,97,21.25,16.64
159,czluchow,PL,1587252215,53.67,17.36,0,57,37,6.24
160,havre-saint-pierre,CA,1587252215,50.23,-63.6,1,93,32,10.29
161,dunedin,NZ,1587252215,-45.87,170.5,72,45,59,5.01
162,taltal,CL,1587251948,-25.4,-70.48,27,72,63.88,4.94
163,padang,ID,1587252215,-0.95,100.35,85,78,78.55,4.23
164,seydi,TM,1587252215,39.48,62.91,71,25,67.73,8.75
165,primorsk,UA,1587252215,46.73,36.34,69,53,47.91,7.4
166,araouane,ML,1587252215,18.9,-3.53,79,11,88.74,3.74
167,pevek,RU,1587252215,69.7,170.31,30,91,3.22,7.29
168,mayumba,GA,1587251943,-3.43,10.66,89,83,79.57,3.31
169,petropavlovsk-kamchatskiy,RU,1587252216,53.05,158.65,5,48,42.8,13.42
170,awbari,LY,1587252216,26.59,12.78,2,22,77.16,14.07
171,fort saint john,NL,1587252216,52.65,6.39,80,61,52,3
172,kudahuvadhoo,MV,1587252216,2.67,72.89,79,79,83.86,12.75
173,tautira,PF,1587252216,-17.73,-149.15,54,70,87.8,8.05
174,batticaloa,LK,1587252217,7.71,81.69,53,82,80.17,4.72
175,altay,CN,1587252217,47.87,88.12,89,36,46.08,4.18
176,wadi maliz,IN,1587252217,17.07,76.98,37,31,82.04,4.65
177,hirara,JP,1587252217,24.8,125.28,75,88,77,13.87
178,makakilo city,US,1587252019,21.35,-158.09,1,54,82.4,10.29
179,esperance,AU,1587252217,-33.87,121.9,100,93,59,14.99
180,bubaque,GW,1587252218,11.28,-15.83,94,61,80.8,18.34
181,deputatskiy,RU,1587252218,69.3,139.9,76,75,-0.53,2.59
182,port hedland,CD,1587252218,-7.03,29.76,98,60,73.72,3.42
183,hailun,CN,1587252218,47.45,126.93,100,29,61,22.03
184,ketchikan,US,1587252218,55.34,-131.65,1,58,57.2,16.11
185,pangkalanbuun,ID,1587252218,-2.68,111.62,89,90,78.62,3.15
186,kimbe,PG,1587252218,-5.55,150.14,46,59,89.06,1.72
187,muyezerskiy,RU,1587252218,63.93,31.65,100,91,31.66,9.15
188,tual,ID,1587252219,-5.67,132.75,98,75,84.04,8.05
189,gelemso,ET,1587252219,8.82,40.52,100,61,59.05,7.14
190,dina,CA,1587252219,52.93,-110.08,40,59,37.4,12.75
191,erenhot,CN,1587252219,43.65,111.98,76,60,44.96,7.65
192,mahon,ES,1587252219,39.89,4.27,100,93,62.6,2.24
193,bose,IT,1587252219,45.46,8.01,84,63,57.99,1.23
194,krasnoselkup,RU,1587252219,65.7,82.47,100,83,37.78,24.94
195,lavrentiya,RU,1587252220,65.58,-171,100,95,20.88,9.64
196,hambantota,LK,1587252220,6.12,81.12,24,83,80.44,5.95
197,kavaratti,IN,1587252220,10.57,72.64,3,73,83.97,6.67
199,terrace,CA,1587252220,54.52,-128.6,20,34,66.99,8.05
200,viedma,AR,1587252220,-40.81,-63,99,31,77.49,19.71
201,rodionovo-nesvetayskaya,RU,1587252285,47.61,39.71,97,48,39.2,2.24
202,saint-philippe,RE,1587252286,-21.36,55.77,40,78,77,12.75
203,saldanha,ZA,1587252286,-33.01,17.94,96,55,64.4,8.05
204,owando,CG,1587252286,-0.48,15.9,87,87,73.02,2.8
205,burgeo,CA,1587252286,47.62,-57.62,22,90,29.35,3
206,hyeres,FR,1587252286,43.12,6.12,99,93,57.99,1.12
207,talnakh,RU,1587252286,69.49,88.4,100,80,35.6,33.55
208,sabang,ID,1587252287,5.89,95.32,83,72,82.45,3.36
209,sitka,US,1587252170,57.05,-135.33,40,81,51.8,5.82
210,kieta,PG,1587252287,-6.22,155.63,65,64,85.6,0.92
211,bengkulu,ID,1587252287,-3.8,102.27,87,83,77.59,3.89
212,tagusao,PH,1587252287,9.19,117.81,23,66,84.36,4.94
213,puerto del rosario,ES,1587252071,36.59,-6.23,42,82,62.6,8.05
214,butaritari,KI,1587252287,3.07,172.79,88,77,83.34,17.34
215,castro,BR,1587252287,-24.79,-50.01,47,69,56.71,6.08
216,haveli,PK,1587252287,30.45,73.7,5,54,71.73,5.53
217,bara,NG,1587252288,10.37,10.73,86,12,83.55,4.07
218,severodvinsk,RU,1587252288,64.56,39.83,40,98,35.6,4.47
219,acapulco,MX,1587252057,16.86,-99.89,5,70,84.2,9.17
220,provideniya,RU,1587252288,64.38,-173.3,100,96,23.2,13.89
221,rosa zarate,IT,1587252288,45.93,12.87,39,64,54,1.83
222,suoyarvi,RU,1587252288,62.08,32.35,94,92,32.02,7.02
223,nador,MA,1587252288,35.17,-2.93,40,93,62.6,3.36
224,saurimo,AO,1587252289,-9.66,20.39,99,70,64.6,2.13
225,coquimbo,CL,1587252289,-29.95,-71.34,90,93,59,9.17
226,santa rosa,PH,1587252143,17.49,120.43,90,61,85.17,1.66
227,port blair,CD,1587252218,-7.03,29.76,98,60,73.72,3.42
228,realeza,BR,1587252289,-25.77,-53.53,0,68,60.66,1.99
229,hermanus,ZA,1587252289,-34.42,19.23,78,64,63,1.99
230,coron,PH,1587252290,12,120.2,5,74,84.58,17.65
231,sinnamary,GF,1587252290,5.38,-52.95,67,84,80.01,10.65
232,saint-pierre,RE,1587252290,-21.34,55.48,40,78,77,12.75
233,kaitangata,NZ,1587252290,-46.28,169.85,82,58,55.99,7
234,cayenne,GF,1587252206,4.93,-52.33,90,83,80.6,5.82
235,vostok,RU,1587252290,46.49,135.88,21,41,51.31,4.83
236,shizukuishi,JP,1587252290,39.68,140.98,40,66,55.4,23.04
237,moron,AR,1587252090,-34.65,-58.62,0,73,68,9.95
238,touros,BR,1587252290,-5.2,-35.46,75,88,80.6,2.24
239,saeby,DK,1587252291,57.33,10.52,0,80,33.01,7.96
